size,deadline,id,crucial,category
1,25.0,64_0,0,car
1,25.0,64_1,0,car
1,25.0,64_10,0,car
1,25.0,64_11,0,car
1,25.0,64_12,1,car
1,25.0,64_13,0,car
1,25.0,64_14,0,car
1,25.0,64_15,1,car
1,25.0,64_16,0,car
1,25.0,64_17,0,car
1,25.0,64_18,0,car
1,25.0,64_2,0,car
1,25.0,64_3,0,car
1,25.0,64_4,0,car
1,25.0,64_5,0,car
1,25.0,64_6,0,car
1,25.0,64_7,0,car
1,25.0,64_8,0,car
1,25.0,64_9,0,car
2,25.0,128_0,0,car
2,25.0,128_1,0,car
2,25.0,128_2,0,car
2,25.0,128_3,0,car
3,25.0,256_0,1,car
3,25.0,256_1,1,car
3,25.0,256_2,1,car
