size,deadline,id,crucial,category
1,40.0,64_0,0,car
1,40.0,64_0,0,person
1,40.0,64_1,0,car
1,40.0,64_10,1,car
1,40.0,64_11,0,car
1,40.0,64_12,0,car
1,40.0,64_2,0,car
1,40.0,64_3,1,car
1,40.0,64_4,0,car
1,40.0,64_5,1,car
1,40.0,64_6,1,car
1,40.0,64_7,0,car
1,40.0,64_8,0,car
1,40.0,64_9,1,car
2,40.0,128_0,1,car
2,40.0,128_1,1,car
2,40.0,128_2,1,car
2,40.0,128_3,1,car
2,40.0,128_4,0,car
3,40.0,256_0,1,car
3,40.0,256_0,1,person
3,40.0,256_1,0,person
3,40.0,256_2,1,person
3,40.0,256_3,1,person
4,40.0,512_0,1,person
