size,deadline,id,crucial,category
1,45.0,64_0,1,person
1,45.0,64_1,1,car
1,45.0,64_10,1,person
1,45.0,64_11,1,person
1,45.0,64_12,1,person
1,45.0,64_2,1,person
1,45.0,64_3,0,person
1,45.0,64_4,1,car
1,45.0,64_5,1,person
1,45.0,64_6,1,car
1,45.0,64_7,1,car
1,45.0,64_8,1,car
1,45.0,64_9,1,car
2,45.0,128_0,0,person
2,45.0,128_1,1,car
3,45.0,256_0,1,car
3,45.0,256_1,1,car
3,45.0,256_2,1,car
3,45.0,256_3,1,car
3,45.0,256_4,1,car
3,45.0,256_5,1,car
3,45.0,256_6,0,person
3,45.0,256_7,0,car
4,45.0,512_0,1,car
