size,deadline,id,crucial,category
1,10.0,64_0,0,car
1,10.0,64_1,1,person
1,10.0,64_10,1,car
1,10.0,64_2,1,car
1,10.0,64_3,1,car
1,10.0,64_4,1,person
1,10.0,64_5,0,car
1,10.0,64_6,1,person
1,10.0,64_7,0,person
1,10.0,64_8,1,person
1,10.0,64_9,1,car
2,10.0,128_0,1,person
2,10.0,128_1,1,person
2,10.0,128_10,1,person
2,10.0,128_11,1,person
2,10.0,128_12,1,person
2,10.0,128_13,1,car
2,10.0,128_2,1,person
2,10.0,128_3,1,car
2,10.0,128_4,1,car
2,10.0,128_5,0,person
2,10.0,128_6,0,person
2,10.0,128_7,1,car
2,10.0,128_8,1,car
2,10.0,128_9,1,car
3,10.0,256_0,1,person
