size,deadline,id,crucial,category
1,10.0,64_0,0,car
1,10.0,64_1,0,car
1,10.0,64_10,1,car
1,10.0,64_11,0,car
1,10.0,64_12,0,car
1,10.0,64_13,0,car
1,10.0,64_14,0,car
1,10.0,64_15,0,car
1,10.0,64_16,1,car
1,10.0,64_17,0,car
1,10.0,64_18,1,car
1,10.0,64_19,0,car
1,10.0,64_2,0,car
1,10.0,64_20,0,car
1,10.0,64_3,0,car
1,10.0,64_4,0,car
1,10.0,64_5,1,car
1,10.0,64_6,0,car
1,10.0,64_7,1,car
1,10.0,64_8,0,car
1,10.0,64_9,0,car
2,10.0,128_0,0,car
2,10.0,128_1,0,car
2,10.0,128_2,1,car
2,10.0,128_3,0,car
2,10.0,128_4,0,car
2,10.0,128_5,0,car
2,10.0,128_6,0,car
3,10.0,256_0,0,car
3,10.0,256_1,1,car
4,10.0,512_0,1,car
