size,deadline,id,crucial,category
1,45.0,64_0,0,car
1,45.0,64_0,1,person
1,45.0,64_1,0,car
1,45.0,64_1,0,person
1,45.0,64_10,0,car
1,45.0,64_11,0,car
1,45.0,64_12,0,car
1,45.0,64_13,0,car
1,45.0,64_14,0,car
1,45.0,64_15,0,car
1,45.0,64_2,0,car
1,45.0,64_3,0,car
1,45.0,64_4,0,car
1,45.0,64_5,0,car
1,45.0,64_6,0,car
1,45.0,64_7,0,car
1,45.0,64_8,0,car
1,45.0,64_9,0,car
2,45.0,128_0,1,car
2,45.0,128_1,1,car
2,45.0,128_10,0,car
2,45.0,128_11,0,car
2,45.0,128_2,1,car
2,45.0,128_3,0,car
2,45.0,128_4,0,car
2,45.0,128_5,0,car
2,45.0,128_6,1,car
2,45.0,128_7,0,car
2,45.0,128_8,0,car
2,45.0,128_9,0,car
3,45.0,256_0,1,car
3,45.0,256_1,0,car
3,45.0,256_2,0,car
